edge_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,record_count,scheduled,abs_median_deviation,relative_deviation_factor,flow
9022003782312/9022003782322,Vedskata (Östhammar),Bro (Österbybruk) (Östhammar),60.224622,17.918694,60.236064,17.922374,18,92,7,0.939,0.7682727272727273
9022003780836/9022003779455,Jällsta (Uppsala),Norr-Vallby (Uppsala),60.077003,17.670498,60.087563,17.651091,17,268,1,0.993,0.7673181818181818
9022003730102/9022003730103,Norrström Norra,Norrström,59.775188,18.058068,59.774234,18.055048,40,27,37,0.422,0.7672727272727272
9022003760387/9022003760329,Gubbo (Tierp),Lundsveds vägskäl (Tierp),60.352547,17.467318,60.382842,17.423016,53,190,408,0.318,0.7660909090909092
9022003760322/9022003760311,Giboda (Tierp),Lövstabruk väg 76 (Tierp),60.389084,17.945251,60.408329,17.869861,18,233,-16,0.936,0.765818181818182
9022003779604/9022003780614,Backen (Öster-Edinge),Öster-Edinge (Uppsala),59.960946,18.061498,59.957479,18.078272,26,86,18,0.648,0.7658181818181818
9022003782432/9022003782441,Strömsbro (Östhammar),Per-Larstorp (Östhammar),60.292579,18.046924,60.298833,18.04927,18,43,-3,0.935,0.7650000000000001
9022003780953/9022003780776,Åkerlänna skola (Uppsala),Askarbäck (Uppsala),60.025323,17.37043,60.033822,17.358416,25,172,84,0.672,0.7636363636363638
9022003780386/9022003780392,Linnés Hammarby vägskäl (Uppsala),Edebybro (Uppsala),59.803558,17.769224,59.807505,17.773627,30,47,-37,0.56,0.7636363636363637
9022003730072/9022003780288,Eggebyholms gård (Knivsta),Spakbacken (Knivsta),59.750899,17.867713,59.750489,17.899876,21,302,-75,0.8,0.7636363636363637
9022003191002/9022003191216,Sigtuna Tvillingbackarna,Hällsboskolan (Sigtuna),59.622388,17.698997,59.627257,17.701327,19,220,-23,0.884,0.7634545454545455
9022003782391/9022003782397,Mariebol (Östhammar),Stynsbo gård (Östhammar),60.278176,17.964001,60.28133,17.974859,18,42,3,0.933,0.7633636363636365
9022003780148/9022003779476,Solvallen (Uppsala),Juvansbo Bolandet,59.987757,17.592904,60.002675,17.593189,17,136,0,0.986,0.7619090909090909
9022003780347/9022003730028,Moralund (Morby) (Knivsta),Johannesberg (Alsike) (Knivsta),59.776793,17.778799,59.769845,17.77036,17,63,0,0.984,0.7603636363636364
9022003700126/9022003700602,Portalgatan (Uppsala),Götgatan (Uppsala),59.867586,17.63948,59.864353,17.627252,19,235,-30,0.88,0.76
9022003760037/9022003760036,Byskärs vägskäl (Tierp),Grönöborg (Tierp),60.518491,17.742058,60.528357,17.739605,19,55,6,0.879,0.7591363636363636
9022003782083/9022003782312,Skjutbanan (Österbybruk) (Östhammar),Vedskata (Östhammar),60.220202,17.913194,60.224622,17.918694,18,38,3,0.927,0.7584545454545455
9022003781102/9022003781094,Vålhammar (Enköping),Skarphagens vägskäl (Enköping),59.543774,17.225592,59.537446,17.232874,17,53,0,0.981,0.7580454545454545
9022003780908/9022003780465,Fredriksberg (Åland) (Uppsala),Ålands kyrka (Uppsala),59.89911,17.284113,59.877056,17.287009,33,97,-95,0.505,0.7575000000000001
9022003760613/9022003760381,Ordsbo (Tierp),Bondebo (Tierp),60.35493,17.393422,60.359492,17.368201,19,180,8,0.877,0.7574090909090909
9022003480443/9022003480119,Vasaskolan (Gävle),Gävle Central (Gävle),60.676436,17.141955,60.675921,17.153023,51,300,621,0.326,0.7557272727272728
9022003719020/9022003719086,Gårdskärsvägen (Älvkarleby),Gårdskär vändslingan (Älvkarleby),60.58741,17.472302,60.611208,17.584533,18,480,15,0.923,0.7551818181818183
9022003780240/9022003780236,Thunmanskolan (Knivsta),Genvägen (Knivsta),59.722256,17.796724,59.718098,17.800956,32,54,44,0.519,0.754909090909091
9022003700547/9022003730000,Stålgatan södra (Uppsala),Ar-terminalen (Knivsta),59.845717,17.67382,59.740153,17.808994,18,809,-68,0.922,0.7543636363636365
9022003760035/9022003760400,Ladvägen (Tierp),Aspenskolan (Tierp),60.347596,17.495471,60.345987,17.504082,18,142,12,0.922,0.7543636363636365
9022003760349/9022003760340,Elingbo skola (Tierp),Barbo (Tierp),60.333826,17.380555,60.328291,17.391549,18,83,-7,0.922,0.7543636363636365
9022003760239/9022003760227,Sund (Tierp),Kungsgrund vägskäl (Tierp),60.497125,17.759931,60.504938,17.751171,19,60,8,0.873,0.7539545454545454
9022003779563/9022003780840,Raggboda,Myrby (Uppsala),60.079984,17.682491,60.081479,17.701067,30,177,-144,0.551,0.7513636363636363
9022003780987/9022003779463,Spångarängen (Uppsala),Juvansbo,60.007882,17.607688,60.00618,17.592231,35,71,89,0.472,0.7509090909090909
9022003782352/9022003782345,Randersbo vägskäl (Östhammar),Lillbya (Östhammar),60.253984,17.945426,60.249916,17.942668,17,33,0,0.971,0.7503181818181818
9022003782047/9022003782453,Edsvägen (Östhammar),Verkstadsvägen (Östhammar),60.260328,18.355886,60.260258,18.349212,18,33,-3,0.917,0.7502727272727273
9022003780507/9022003780045,Järlåsa kyrka (Uppsala),Hagalunds vägskäl (Uppsala),59.909124,17.213935,59.905573,17.211085,33,48,0,0.5,0.75
9022003780989/9022003780929,Lugnet (Funbo) (Uppsala),Björkkulla (Uppsala),59.857281,17.879594,59.862709,17.873612,33,115,63,0.5,0.75
9022003780475/9022003780046,Järlåsa bygdegård (Uppsala),Stora Slässbo vägskäl (Uppsala),59.898329,17.205919,59.894292,17.203981,33,37,0,0.5,0.75
9022003779481/9022003780469,Stockbäck (Järlåsa),Modare (Järlåsa) (Uppsala),59.880052,17.253299,59.880395,17.249028,33,7,-7,0.5,0.75
