edge_id,source_id,sink_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,Record Count,delay,delay / travel time
9022003779077/9022003779075,9022003779077,9022003779075,Falebro (Uppsala),Berga (Uppsala),59.824282,17.732622,59.818646,17.739803,918,-16,-0.24615384615384617
9022003779075/9022003779077,9022003779075,9022003779077,Berga (Uppsala),Falebro (Uppsala),59.818646,17.739803,59.824282,17.732622,917,-66,-0.528
9022003780391/9022003779075,9022003780391,9022003779075,Söderby (Danmark) (Uppsala),Berga (Uppsala),59.808306,17.756617,59.818646,17.739803,917,-7,-0.07216494845360824
9022003780381/9022003780386,9022003780381,9022003780386,Ängsvaktartorp (Knivsta),Linnés Hammarby vägskäl (Uppsala),59.799275,17.777632,59.803558,17.769224,917,-5,-0.12195121951219512
9022003780386/9022003780391,9022003780386,9022003780391,Linnés Hammarby vägskäl (Uppsala),Söderby (Danmark) (Uppsala),59.803558,17.769224,59.808306,17.756617,917,0,0
9022003780391/9022003780386,9022003780391,9022003780386,Söderby (Danmark) (Uppsala),Linnés Hammarby vägskäl (Uppsala),59.808306,17.756617,59.803558,17.769224,917,-15,-0.2112676056338028
9022003780373/9022003780381,9022003780373,9022003780381,Lagga vägskäl (Knivsta),Ängsvaktartorp (Knivsta),59.795233,17.787335,59.799275,17.777632,917,11,0.2558139534883721
9022003191716/9022003191715,9022003191716,9022003191715,Sundbyberg station (Sundbyberg),Spånga station (Stockholm),59.360651,17.971298,59.383388,17.898632,915,0,0
9022003191719/9022003191716,9022003191719,9022003191716,Stockholm Odenplan,Sundbyberg station (Sundbyberg),59.343362,18.045933,59.360651,17.971298,915,-65,-0.15476190476190477
9022003191714/9022003191713,9022003191714,9022003191713,Barkarby station (Järfälla),Jakobsberg station (Järfälla),59.403573,17.868777,59.423438,17.833069,915,0,0
9022003191710/9022003105112,9022003191710,9022003105112,Bro station (Upplands-Bro),Bålsta station (SL-pendeln) (Håbo),59.511826,17.634571,59.568513,17.533685,915,0,0
9022003191713/9022003191712,9022003191713,9022003191712,Jakobsberg station (Järfälla),Kallhäll station (Järfälla),59.423438,17.833069,59.453238,17.805753,915,0,0
9022003191712/9022003191711,9022003191712,9022003191711,Kallhäll station (Järfälla),Kungsängen station (Upplands-Bro),59.453238,17.805753,59.477747,17.751855,915,0,0
